                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.7078,                0.40258,                  1.153,                0.96666,                0.98135,                0.98869,                0.86498,                0.62939,                0.27252,                 1.1473,                0.00604,                0.00604,                0.00604
                     82,                0.71146,                0.40084,                 1.1496,                0.96548,                0.98216,                0.98852,                0.86431,                0.62987,                0.27311,                 1.1481,              0.0059905,              0.0059905,              0.0059905
                     83,                0.71008,                0.40216,                 1.1507,                0.96621,                0.98217,                 0.9885,                0.86525,                0.63008,                0.27372,                 1.1488,               0.005941,               0.005941,               0.005941
                     84,                0.70124,                0.39668,                  1.147,                0.96725,                0.98054,                0.98824,                0.86442,                0.62931,                0.27301,                 1.1483,              0.0058915,              0.0058915,              0.0058915
                     85,                0.69953,                0.39642,                 1.1464,                0.96702,                0.98022,                0.98841,                0.86503,                0.62944,                 0.2734,                 1.1478,               0.005842,               0.005842,               0.005842
                     86,                 0.7087,                0.40145,                 1.1524,                0.96789,                0.97959,                0.98851,                0.86566,                0.62939,                0.27235,                 1.1486,              0.0057925,              0.0057925,              0.0057925
                     87,                0.70541,                0.39627,                 1.1492,                0.96897,                0.97924,                 0.9885,                0.86612,                0.63051,                0.27157,                 1.1504,               0.005743,               0.005743,               0.005743
                     88,                0.70975,                0.39752,                 1.1521,                0.96879,                0.97937,                0.98812,                0.86618,                0.63001,                0.27113,                 1.1501,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.6954,                0.39002,                 1.1461,                0.97012,                0.97858,                0.98821,                0.86634,                0.62927,                0.26995,                 1.1499,               0.005644,               0.005644,               0.005644
                     90,                 0.6978,                0.39243,                 1.1448,                0.97007,                0.97815,                 0.9887,                0.86622,                0.62999,                0.26986,                 1.1507,              0.0055945,              0.0055945,              0.0055945
                     91,                0.69566,                0.38973,                 1.1474,                0.96766,                 0.9789,                0.98881,                0.86542,                0.63102,                0.26897,                 1.1524,               0.005545,               0.005545,               0.005545
                     92,                0.70058,                0.39239,                 1.1477,                0.96661,                0.98014,                0.98886,                0.86533,                0.63116,                0.26901,                 1.1532,              0.0054955,              0.0054955,              0.0054955
                     93,                0.69389,                0.38929,                 1.1403,                0.96615,                0.98086,                0.98869,                 0.8661,                0.63141,                0.26852,                 1.1539,               0.005446,               0.005446,               0.005446
                     94,                0.69037,                0.38642,                 1.1426,                0.96572,                0.98143,                0.98875,                0.86636,                0.63103,                0.26806,                 1.1538,              0.0053965,              0.0053965,              0.0053965
                     95,                0.69488,                0.38752,                 1.1463,                0.96599,                0.98201,                0.98902,                0.86626,                0.63082,                0.26778,                 1.1532,               0.005347,               0.005347,               0.005347
                     96,                0.69491,                0.38513,                 1.1465,                0.96501,                 0.9827,                0.98867,                0.86574,                0.63191,                0.26804,                 1.1544,              0.0052975,              0.0052975,              0.0052975
                     97,                0.69452,                0.38708,                 1.1451,                0.96623,                0.98095,                0.98825,                0.86638,                0.63173,                0.26766,                 1.1541,               0.005248,               0.005248,               0.005248
                     98,                 0.6916,                0.38502,                 1.1468,                0.96595,                 0.9813,                0.98829,                0.86631,                0.63237,                0.26724,                 1.1547,              0.0051985,              0.0051985,              0.0051985
                     99,                0.68672,                 0.3811,                 1.1408,                0.96551,                0.98162,                0.98862,                0.86614,                0.63191,                 0.2661,                 1.1543,               0.005149,               0.005149,               0.005149
                    100,                0.68937,                0.38289,                 1.1407,                0.96607,                0.98196,                0.98849,                0.86659,                0.63127,                0.26505,                 1.1529,              0.0050995,              0.0050995,              0.0050995
