Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@BBYNews,https://twitter.com/BBYNews/status/1423254298503393280#m,Posted,"Aug 5, 2021 · 12:07 PM UTC",Best Buy commits up to $10M investment with Brown Venture Group for BIPOC startups https://bby.me/rjgf6c,https://twitter.com/BBYNews/status/1423254298503393280#m,41,5,16,11
@BBYNews,@originaluser,Retweet,"Aug 5, 2021 · 12:07 PM UTC",Best Buy commits up to $10M investment with Brown Venture Group for BIPOC startups https://bby.me/rjgf6c,https://twitter.com/BBYNews/status/1423254298503393280#m,,,,
@BBYNews,https://twitter.com/BBYNews/status/1422912199987712000#m,Posted,"Aug 4, 2021 · 1:27 PM UTC",Best Buy named one of Fast Company’s Best Workplaces for Innovators https://bby.me/ysspbp,https://twitter.com/BBYNews/status/1422912199987712000#m,47,1,7,15
@BBYNews,@originaluser,Retweet,"Aug 4, 2021 · 1:27 PM UTC",Best Buy named one of Fast Company’s Best Workplaces for Innovators https://bby.me/ysspbp,https://twitter.com/BBYNews/status/1422912199987712000#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1422217461991157761#m,Posted,"Aug 2, 2021 · 3:27 PM UTC",Things are out of place in your dorm's bathroom. Which accessory do you suspect your new dormmate of secretly using behind your back?,https://twitter.com/BestBuy/status/1422217461991157761#m,20,1,5,13
@BestBuy,https://twitter.com/BestBuy/status/1421833098136752128#m,Posted,"Aug 1, 2021 · 2:00 PM UTC",Setting up a new printer can be easy. Don’t believe us? Check out our video. bby.me/rmjxn4,https://twitter.com/BestBuy/status/1421833098136752128#m,22,0,3,6
@BestBuy,https://twitter.com/BestBuy/status/1421183817684033538#m,Posted,"Jul 30, 2021 · 7:00 PM UTC","Teen Tech Centers provide tech access, training and mentorship to young people in underserved communities – all to build bright futures for teens through tech. Learn more: bby.me/yz7f6m",https://twitter.com/BestBuy/status/1421183817684033538#m,72,2,11,16
@BBYNews,https://twitter.com/BBYNews/status/1420104619313741825#m,Posted,"Jul 27, 2021 · 7:31 PM UTC",Best Buy named to 2021 Best Employers for Women list. https://bby.me/q2z9cp,https://twitter.com/BBYNews/status/1420104619313741825#m,54,0,10,11
@BBYNews,@originaluser,Retweet,"Jul 27, 2021 · 7:31 PM UTC",Best Buy named to 2021 Best Employers for Women list. https://bby.me/q2z9cp,https://twitter.com/BBYNews/status/1420104619313741825#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1420415780928249861#m,Posted,"Jul 28, 2021 · 4:08 PM UTC",Google Nest Thermostats can more efficiently heat and cool your home. Watch Agent Lee help you set one up. bby.me/m5prwp,https://twitter.com/BestBuy/status/1420415780928249861#m,26,1,4,2
@BBYNews,https://twitter.com/BBYNews/status/1419656792456507393#m,Posted,"Jul 26, 2021 · 1:52 PM UTC",Best Buy named one of Best Places to Work for Disability Inclusion https://bby.me/yhhp4g,https://twitter.com/BBYNews/status/1419656792456507393#m,44,1,8,3
@BBYNews,@originaluser,Retweet,"Jul 26, 2021 · 1:52 PM UTC",Best Buy named one of Best Places to Work for Disability Inclusion https://bby.me/yhhp4g,https://twitter.com/BBYNews/status/1419656792456507393#m,,,,
@BestBuy,https://twitter.com/BestBuy/status/1420066457300312077#m,Posted,"Jul 27, 2021 · 5:00 PM UTC",It’s odd that characters in LEGO video games can step on bricks and not collapse in pain.,https://twitter.com/BestBuy/status/1420066457300312077#m,105,0,16,7
@BestBuy,https://twitter.com/BestBuy/status/1419779564117520405#m,Posted,"Jul 26, 2021 · 10:00 PM UTC",Nothing quite like an oscillating breeze.,https://twitter.com/BestBuy/status/1419779564117520405#m,54,0,8,12
@BestBuy,https://twitter.com/BestBuy/status/1418933993467166733#m,Posted,"Jul 24, 2021 · 2:00 PM UTC",It’s hot out but stop leaving the fridge doors open in the large appliance section.,https://twitter.com/BestBuy/status/1418933993467166733#m,113,1,12,29
@BestBuy,https://twitter.com/BestBuy/status/1418682390029996037#m,Posted,"Jul 23, 2021 · 9:20 PM UTC","Your new dormmate brought plenty of equestrian wall art, but nothing for the kitchen. Which small appliance are you picking up first?",https://twitter.com/BestBuy/status/1418682390029996037#m,25,1,3,11
@BestBuy,https://twitter.com/BestBuy/status/1418604129862262790#m,Posted,"Jul 23, 2021 · 4:09 PM UTC",They should really upgrade to a smart torch.,https://twitter.com/BestBuy/status/1418604129862262790#m,82,2,7,34
@BestBuy,https://twitter.com/BestBuy/status/1418299814710693889#m,Posted,"Jul 22, 2021 · 8:00 PM UTC",Does anyone else think of extreme 90s soft drinks when you hear “Surge Protector?”,https://twitter.com/BestBuy/status/1418299814710693889#m,82,2,6,21
